Tag,basal_d,dbh,height,exposure,h_dbh,Notes,second coord,wsg
NA,25.8,13.3,1.4,2,,,,0.30931403
NA,29.3,15,6.2,3,,,,0.30931403
NA,21,9.7,2.4,2,,,,0.30931403
NA,36.3,17.2,6.4,3,,,,0.30931403
NA,25.5,13.1,3.75,2,,,,0.30931403
NA,32.8,15,5.1,3,,,,0.30931403
NA,28.1,15.3,3.4,2,,,,0.30931403
NA,24.2,11.1,2.4,2,,,,0.30931403
NA,28.3,14.6,6.3,3,,,,0.30931403
NA,20.1,9.9,1.1,1,,,,0.30931403
NA,30.3,14.6,6.35,3,,,,0.30931403
NA,21,10.9,2.7,2,,,,0.30931403
NA,22.3,13.1,1.8,2,,,,0.30931403
NA,31.5,14.6,6.2,3,,,,0.30931403
NA,15.9,11.2,1.2,2,,,,0.30931403
NA,23.8,14.7,6.55,3,,,,0.30931403
NA,29.9,16,5.6,3,,,,0.30931403
NA,21.3,10.9,2.6,2,,"
",,0.30931403
NA,NA,10.5,3,2,,Dead tree against the base of the palm,,0.30931403
NA,20.1,12.1,3.2,2,,,,0.30931403
NA,28.1,10.5,3.4,2,,,,0.30931403
NA,26.1,11.2,2.4,2,,,,0.30931403
NA,19.7,15,1.4,2,,,,0.30931403
NA,22.3,11.7,2.1,2,,,,0.30931403
NA,27.1,14.6,6.6,3,,,,0.30931403
NA,24.2,12.7,5.85,3,,,,0.30931403
NA,20.3,12.7,1.6,2,,,,0.30931403
NA,35.1,16.9,8.4,3,,,,0.30931403
NA,22,10.2,1.7,2,,,,0.30931403
NA,20.3,8.9,2.3,2,,,,0.30931403
NA,22.3,10.8,1.4,2,,,,0.30931403
NA,16.8,9.5,1.6,2,,,,0.30931403
NA,16.2,13.1,3.4,2,,,,0.30931403
NA,19.4,9.6,2.2,2,,,,0.30931403
NA,32.2,15.3,7.8,3,,,,0.30931403
NA,35,15.6,6.4,3,,,,0.30931403
NA,24.8,10.8,2.4,2,,,,0.30931403
NA,36,16.8,9.2,4,,,,0.30931403
NA,29.5,17.5,10.1,4,,,,0.30931403
NA,17.2,6.6,1.1,2,,,,0.30931403
NA,30.8,13.7,3.5,2,,,,0.30931403
NA,24.6,12.8,2.9,2,,,,0.30931403
NA,16,7.9,1,1,,,,0.30931403
NA,21.6,6.5,2.2,2,,,,0.30931403
NA,19.4,7.6,1.75,2,,,,0.30931403
NA,29.9,15,7.6,3,,,,0.30931403
NA,29.9,13.9,4.35,2,,,,0.30931403
NA,20.7,10.5,3,2,,,,0.30931403
NA,26.4,12.6,4.2,2,,,,0.30931403
NA,21.2,9,1.2,2,,,,0.30931403
NA,26.7,12.7,2.9,2,,,,0.30931403
NA,27.4,14,3.6,2,,,,0.30931403
NA,28.1,12.7,4.3,2,,,,0.30931403
NA,33.7,15.6,8.4,3,,,,0.30931403
NA,34.4,16.6,12.8,4,,,,0.30931403
NA,30.6,13.6,5.55,3,,,,0.30931403
NA,19.4,9.9,1.2,2,,,,0.30931403
NA,NA,12.6,4.55,2,,"Overgrown by second pair of roots, unable to reach the base through these extra roots",,0.30931403
NA,26.1,14.3,4.4,2,,,,0.30931403
NA,25.2,13.4,4.2,2,,,,0.30931403
NA,16,9.9,0.7,1,,,,0.30931403
NA,12.4,9.3,0.8,1,,,,0.30931403
NA,17.5,8.9,1.1,1,,,,0.30931403
NA,18.2,10.8,2.1,2,,,,0.30931403
NA,32.5,16.6,5.1,3,,,,0.30931403
NA,25.7,14.1,3.2,2,,,,0.30931403
NA,35,16.6,5.95,3,,,,0.30931403
702,26.4,13.4,4.45,2,,,,0.30931403
710,27.5,13.1,4.3,2,,,,0.30931403
175947,28.8,12.4,1.8,2,,,,0.30931403
175947,23.2,13.7,1.3,1,,,- close to 175947 same topography,0.30931403
167647,24.3,11.8,2.4,2,,,,0.30931403
129544,32.8,15.5,5.65,3,,,,0.30931403
129544,19.8,11.1,1.2,1,,,- close to 129544same topography,0.30931403
129517,22.4,10.7,2.9,2,,,,0.30931403
172903,38.5,16.8,4.45,3,,,,0.30931403
173305,33.6,14,4.1,2,,,,0.30931403
173309,26.7,12.8,2.8,2,,,,0.30931403
173307,21.3,9,2.2,2,,,,0.30931403
173308,34,15.7,3.1,2,,,,0.30931403
19746,24,11.4,3.5,2,,-Growing sideways',,0.30931403
19746,29.8,16.6,1.7,2,,,- close to 19746 same topography,0.30931403
19632,24,11.3,4.1,3,,,,0.30931403
131306,24.5,10.5,2,2,,,,0.30931403
131306,13,6.4,0.6,1,,,- close to 131306 same topography,0.30931403
131296,27.5,11.6,3,2,,,,0.30931403
131304,29.7,12.5,4.75,3,,,,0.30931403
133043,25.6,11.3,2.9,2,,,,0.30931403
170517,22,9.3,1.6,2,,,,0.30931403
133048,25.8,13.1,3.4,2,,,,0.30931403
133056,28,12,3.1,2,,,,0.30931403
130465,30.7,14.4,3.9,2,,,,0.30931403
130466,21.8,10.5,3,2,,,,0.30931403
130468,20.5,11.6,3.4,2,,,,0.30931403
130464,21.8,9.3,2,2,,,,0.30931403
168680,25,11.4,2.3,2,,,,0.30931403
173611,26,10,1.95,2,,,,0.30931403
3578,26.3,14.2,4.35,2,,,,0.30931403
29870,39,15.9,6.2,3,,,,0.30931403
29859,28.2,16.4,3.3,2,,,,0.30931403
29863,26.6,13.5,4.1,2,,,,0.30931403
29868,29,14.1,4.6,2,,,,0.30931403
6569,32,13.7,8.1,4,,,,0.30931403
168672,32.2,11.8,2.95,2,,,,0.30931403
3553,31.9,14.3,7.5,4,,,,0.30931403
29890,37.9,16.5,9,4,,,,0.30931403
3552,35.6,16.6,8.7,4,,,,0.30931403
3552,48.2,17,8,4,,,- In the same area as 3552,0.30931403
44189,29.3,17.3,5.6,3,,,,0.30931403
130450,23.6,10,2.15,2,,,,0.30931403
130442,26.9,11.6,3,2,,,,0.30931403
130442,33.3,15.8,8.15,4,,,- 3m from 130442,0.30931403
3530,28,15.6,6.95,4,,,,0.30931403
176740,26.2,12.8,2.1,2,,,,0.30931403
130434,20,8.4,1.3,2,,,,0.30931403
3529,34,16.8,6.3,3,,,,0.30931403
24881,NA,11.4,4.55,2,,two root systems Growing over each Other,,0.30931403
24881,16.8,11.2,0.9,1,,,-3m from 24881,0.30931403
2620,36.7,16.5,7.55,4,,,,0.30931403
2623,35.9,14.4,7.65,4,,,,0.30931403
9199,28.8,14.2,6,3,,,,0.30931403
2079,28.6,13.5,7.4,3,,,,0.30931403
170055,26.3,11.8,2.4,2,,,,0.30931403
132095,35,15.8,5.8,3,,,,0.30931403
2074,36.2,17.6,6.1,3,,,,0.30931403
2073,29.5,14.1,10.4,4,,,,0.30931403
9098,25.4,12.1,3.4,2,,,,0.30931403
9061,31.8,14.6,5.8,3,,,,0.30931403
9096,32,15.5,6,3,,,,0.30931403
2057,21.2,10.7,4.55,3,,,,0.30931403
2057,17.1,9.8,0.95,1,,,-In the same area as 2057,0.30931403
9087,30.9,13.5,5.6,3,,,,0.30931403
132075,28.4,12.3,5,3,,,,0.30931403
2059,40,17.7,7.4,3,,,,0.30931403
1066,30.5,15.4,7,3,,,,0.30931403
170036,29.6,13.8,2.7,2,,,,0.30931403
827,27.6,13,3.9,3,,,,0.30931403
2544,29.3,13.5,5.8,3,,,,0.30931403
2543,33.5,15.5,6.8,4,,,,0.30931403
22583,28.5,15.1,4.6,3,,,,0.30931403
22633,35.8,14.8,6.6,4,,,,0.30931403
22607,38.4,16.8,6,4,,,,0.30931403
2534,41,18,10.9,4,,,,0.30931403
133019,16,9,1.2,1,,,,0.30931403
133019,20,9.1,1.85,2,,,-In the same area as 133019,0.30931403
22562,26.9,14.2,4.7,3,,,,0.30931403
2535,35.8,16.2,6.2,3,,,,0.30931403
3525,27,18.2,15.2,4,,,,0.30931403
44127,25.6,11,2.1,2,,,,0.30931403
30087,32.5,15.3,6,3,,,,0.30931403
