"","AIC","deltaAIC","r2","rse","rmse_median","rmse_sd","a","b","c","p-val_a","p-val_b","p-val_c"
"linear",4055.2,382.8,0.52,1.85,1.85,0.1,-4.563,0.337,NA,0,0,NA
"loglinear",4118.9,446.5,0.48,1.91,1.91,0.1,-24.481,8.866,NA,0,0,NA
"loglog",3705.5,33.1,0.56,0.36,4.13,0.14,-4.988,1.942,NA,0,0,NA
"powerlaw",4037.2,364.9,NA,1.83,1.83,0.1,0.007,1.972,NA,0,0,NA
"loglogquad-1",3688.5,16.2,0.56,0.36,4.13,0.14,-1.846,0.299,NA,0,0,NA
"loglogquad-2",3672.4,0,0.57,0.36,4.13,0.14,6.198,-4.931,1.051,0,0,0
"weibull",4830.8,1158.4,NA,155.05,1.96,0.07,14.121,37.511,2.436,0,0,0
