"","AIC","deltaAIC","r2","rse","rmse_median","rmse_sd","a","b","c","p-val_a","p-val_b","p-val_c"
"linear",4064.6,340.7,0.52,1.84,1.84,0.07,-5.461,0.782,NA,0,0,NA
"loglinear",4117.1,393.2,0.5,1.88,1.9,0.07,-20.028,9.717,NA,0,0,NA
"loglog",3731.2,7.4,0.55,0.37,4.12,0.12,-3.897,2.083,NA,0,0,NA
"powerlaw",4059.2,335.4,NA,1.83,1.84,0.08,0.02,2.12,NA,0,0,NA
"loglogquad-1",3723.9,0,0.55,0.36,4.11,0.12,-1.297,0.414,NA,0,0,NA
"loglogquad-2",3724.9,1,0.55,0.36,4.11,0.12,0.053,-1.076,0.628,0.97,0.33,0
"weibull",4751.5,1027.7,NA,69.45,1.93,0.09,12.732,15.902,3.381,0,0,0
